City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Le Port,RE,75.2,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
3,Rikitea,PF,74.71,broken clouds,-23.1203,-134.9692,People ThankYou
4,Karratha,AU,80.31,broken clouds,-20.7377,116.8463,ibis Styles Karratha
7,Port Alfred,ZA,61.2,scattered clouds,-33.5906,26.891,The Halyards Hotel
11,Hilo,US,73.26,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
17,Pemangkat,ID,78.71,overcast clouds,1.1667,108.9667,Ramah Kost KITA
19,Meulaboh,ID,76.87,overcast clouds,4.1363,96.1285,Kost Pria
22,Cascais,PT,72.75,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
24,Ribeira Grande,PT,72.0,few clouds,38.5167,-28.7,Quinta da Meia Eira
26,Port Blair,IN,80.42,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
29,Atuona,PF,78.06,few clouds,-9.8,-139.0333,Villa Enata
30,Port Elizabeth,ZA,61.11,few clouds,-33.918,25.5701,39 On Nile Guest House
37,Saldanha,ZA,60.85,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
38,Baghdad,IQ,76.91,scattered clouds,33.3406,44.4009,Baghdad Hotel
40,Vaini,TO,69.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
41,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
44,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
45,Sechura,PE,76.1,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
46,Coquimbo,CL,60.53,few clouds,-29.9533,-71.3436,Punto de encuentro
48,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
49,Kahului,US,76.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
50,Airai,TL,61.5,broken clouds,-8.9266,125.4092,Juvinal Martin
53,Gaoual,GN,79.43,overcast clouds,11.75,-13.2,Hotel koliba
54,Faanui,PF,77.2,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
55,Altamira,BR,84.29,light rain,-3.2033,-52.2064,Requinte Hotel
57,Bandarbeyla,SO,78.55,clear sky,9.4942,50.8122,JABIR HOTEL
58,Zacatepec,MX,81.37,overcast clouds,18.65,-99.2,Villas El Paraíso
65,Castro,BR,74.01,light rain,-24.7911,-50.0119,CHACARA BAILLY
66,Ugoofaaru,MV,81.63,scattered clouds,5.6667,73.0,Ungoofaaru Inn
67,Halifax,CA,65.41,overcast clouds,44.6453,-63.5724,Hotel Halifax
68,Tuy Hoa,VN,75.6,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
69,Miranda,CO,80.65,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
71,Bay Roberts,CA,64.65,light rain,47.5999,-53.2648,Stonewall Inn
81,Hithadhoo,MV,82.35,overcast clouds,-0.6,73.0833,Scoop Guest House
82,Sorong,ID,78.91,broken clouds,-0.8833,131.25,waigo splash hotel
87,Hirara,JP,76.01,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
88,Timberlake,US,67.87,clear sky,37.3207,-79.2575,Timberlake Motel
92,Axim,GH,78.26,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
94,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
97,Kilindoni,TZ,78.57,few clouds,-7.9139,39.6668,Bustani B&B
98,Butaritari,KI,81.32,broken clouds,3.0707,172.7902,Isles Sunset Lodge
101,Novita,CO,77.77,broken clouds,4.9551,-76.6053,B/ Buenos Aires Sector Las Curvitas
103,Santa Cruz De La Palma,ES,70.14,broken clouds,28.6835,-17.7642,H10 Taburiente Playa
104,Mouila,GA,74.86,broken clouds,-1.8685,11.0559,Hôtel du Lac Bleu
105,Laguna,US,64.26,broken clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
109,Turan,VN,71.58,broken clouds,16.0678,108.2208,Sun River Hotel
110,Cape Town,ZA,62.1,light rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
114,Marawi,PH,67.64,light rain,7.9986,124.2928,Derogongan Residence
115,Taltal,CL,61.56,clear sky,-25.4,-70.4833,Residencial Karime
118,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
121,Pisco,PE,67.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
122,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
125,Don Sak,TH,78.94,overcast clouds,9.3168,99.6918,Sea Sun Moon Hostel
131,Virginia Beach,US,74.01,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
132,Sao Filipe,CV,80.26,clear sky,14.8961,-24.4956,Hotel Xaguate
133,Hamilton,US,61.65,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
135,Menongue,AO,74.77,few clouds,-14.6585,17.691,Ritz Lauca
136,Lata,PT,65.05,overcast clouds,40.1629,-8.3327,Casa Maquia
137,Kalmunai,LK,79.5,scattered clouds,7.4167,81.8167,VS Villa
138,Asosa,ET,63.97,clear sky,10.0667,34.5333,Blendana Hotel Assosa
140,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
141,Suez,EG,69.04,clear sky,29.9737,32.5263,Green House
143,Victoria,HK,70.25,light rain,22.2855,114.1577,Mini Hotel Central
144,Georgetown,MY,80.53,scattered clouds,5.4112,100.3354,Cititel Penang
146,Moultrie,US,80.38,clear sky,31.1799,-83.7891,Moultrie Inn
149,Da Nang,VN,71.58,broken clouds,16.0678,108.2208,Sun River Hotel
154,Mae Hong Son,TH,72.46,overcast clouds,19.3003,97.9685,Baiyoke Chalet Hotel
157,Half Moon Bay,US,64.81,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
158,Cairns,AU,74.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
161,Brigantine,US,65.32,broken clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
164,Salumbar,IN,72.66,clear sky,24.1333,74.05,chatra chaya guest house
165,Bengkulu,ID,75.78,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
166,Torbay,CA,63.88,overcast clouds,47.6666,-52.7314,Gallows Cove
167,Westport,US,60.24,overcast clouds,41.1415,-73.3579,The Westport Inn
171,Mar Del Plata,AR,68.02,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
176,Olbia,IT,66.25,scattered clouds,40.9214,9.4856,Hotel Centrale Olbia
179,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
181,Saint-Philippe,RE,75.47,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
183,San Lawrenz,MT,72.81,overcast clouds,36.0553,14.204,San Andrea Hotel
184,Turbat,PK,77.29,clear sky,26.0023,63.044,Mubashar Quarters
185,Akyab,MM,76.89,overcast clouds,20.15,92.9,Hotel Memory
186,Lorengau,PG,80.29,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
189,Paka,MY,75.13,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA
192,Winslow,US,63.97,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
193,Dingle,PH,74.35,light rain,10.9995,122.6711,SEGAYA PROPERTY
196,Sainte-Marie,RE,75.36,clear sky,-20.8968,55.5496,Les pailles en queue de Sainte Marie
197,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
199,Vao,NC,71.33,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
201,Hervey Bay,AU,76.03,moderate rain,-25.2986,152.8535,Shelly Bay Resort
202,Carnarvon,AU,69.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
203,Noumea,NC,67.98,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
205,Camalu,MX,68.41,few clouds,30.85,-116.0667,La Cueva del Pirata
208,Jiazi,CN,66.74,overcast clouds,22.8779,116.067,Hotel Jin Hao
210,Quatre Cocos,MU,75.31,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
211,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
213,Abha,SA,66.02,clear sky,18.2164,42.5053,Abha Hotel
217,Kavieng,PG,82.09,broken clouds,-2.5744,150.7967,Nusa Island Retreat
221,Sao Jose Da Coroa Grande,BR,82.98,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
228,Cabildo,AR,66.24,broken clouds,-38.4842,-61.8954,Amanecer
232,Avarua,CK,69.85,light rain,-21.2078,-159.775,Paradise Inn
233,Chuy,UY,60.42,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
235,Rocha,UY,60.3,moderate rain,-34.4833,-54.3333,Beleza Pura B&B
236,Lompoc,US,67.08,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
238,Concepcion Del Oro,MX,67.96,clear sky,24.6333,-101.4167,Hotel Hacienda San Javier
240,Iranshahr,IR,75.54,clear sky,27.2025,60.6848,نیک سرشت
243,Kangaba,ML,83.57,overcast clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
244,Bertoua,CM,69.55,light rain,4.5833,13.6833,Hotel De Paris
246,Kawalu,ID,73.49,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
250,Rosarito,MX,64.42,overcast clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
255,Hiriyur,IN,70.84,overcast clouds,13.9456,76.6192,Royal Inn
258,Nelson Bay,AU,65.95,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
259,Kutum,SD,81.77,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
262,Trelew,AR,64.98,clear sky,-43.249,-65.3051,Hotel Touring Club
263,San Quintin,MX,68.47,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
268,Banda Aceh,ID,79.57,overcast clouds,5.5577,95.3222,Sulthan Hotel International
270,Jieshi,CN,66.94,broken clouds,22.8134,115.8257,Yuehai Hotel
272,Ahuimanu,US,77.77,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
273,Thenzawl,IN,62.08,scattered clouds,23.3167,92.75,Grace Indane Gramin Vitrak Godown
275,East London,ZA,63.54,clear sky,-33.0153,27.9116,Tu Casa
276,Biak,ID,75.88,overcast clouds,-0.9131,122.8766,Penginapan Kim
279,Saint-Pierre,RE,74.88,clear sky,-21.3393,55.4781,Lindsey Hôtel
281,Cayenne,GF,81.09,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
282,Vanimo,PG,76.89,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
284,Aquin,HT,84.87,scattered clouds,18.2833,-73.4,Asheev Beach
286,Yenagoa,NG,73.08,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
287,Arroio Grande,BR,60.28,moderate rain,-32.2375,-53.0869,Motel Bela Vista
289,Ponta Do Sol,PT,73.0,scattered clouds,32.6667,-17.1,Hotel do Campo
290,Singaraja,ID,79.97,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
292,Blackwater,AU,75.85,overcast clouds,-23.5833,148.8833,Blackwater Motor Inn
294,Mount Isa,AU,71.37,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
296,Chalinze,TZ,74.26,scattered clouds,-6.6378,38.354,Dolphin Guesthouse
300,Kikwit,CD,71.98,light rain,-5.041,18.8162,HOTEL PLACE YALABA
301,Sunland Park,US,79.36,clear sky,31.7965,-106.58,SpringHill Suites by Marriott El Paso
308,Alofi,NU,66.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
311,Prien,US,84.18,scattered clouds,30.1819,-93.2738,L'Auberge Casino Resort Lake Charles
312,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
316,Batticaloa,LK,79.83,broken clouds,7.7102,81.6924,Grand Star Guest House
317,Puerto Escondido,MX,76.03,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
319,Lamar,US,82.36,broken clouds,33.6668,-95.5836,Kings Inn Paris TX
320,Pochutla,MX,76.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
323,Mayumba,GA,77.31,broken clouds,-3.432,10.6554,LIKWALE LODGE
326,Fomboni,KM,79.41,clear sky,-12.28,43.7425,Auberge les abou
330,Xai-Xai,MZ,82.9,clear sky,-25.0519,33.6442,Complexo da Familia
333,Sampit,ID,74.39,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
339,Ballina,AU,71.78,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
340,Havelock,US,75.97,few clouds,34.8791,-76.9013,Sherwood Motel
341,Namibe,AO,67.41,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
343,Show Low,US,66.88,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
347,Zeerust,ZA,76.01,clear sky,-25.5369,26.0751,Kareespruit Game Ranch and Guest House
352,Harur,IN,73.76,broken clouds,12.0667,78.5,Sraswathi Lodge
354,Sakakah,SA,80.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
355,Mizdah,LY,80.37,overcast clouds,31.4451,12.9801,محمدالمبروك الاريقط
360,Mananara,MG,75.61,scattered clouds,-16.1667,49.7667,Chez Roger
362,Balkanabat,TM,61.45,clear sky,39.5108,54.3671,Nebitchi Hotel
363,Kalabo,ZM,83.03,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
364,Sarangani,PH,82.09,overcast clouds,5.4033,125.4636,Ballistic Islet
372,San Vicente,AR,62.15,heavy intensity rain,-26.6167,-54.1333,Complejo Turístico Farelluk
373,Baleshwar,IN,72.91,scattered clouds,21.4942,86.9317,Banjara Hotels Pvt Ltd
374,Tual,ID,83.64,broken clouds,-5.6667,132.75,Grand Vilia Hotel
375,Camopi,GF,82.02,overcast clouds,3.1655,-52.3158,La pousada
376,Mahajanga,MG,78.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
377,Lufilufi,WS,76.78,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
378,Kabanjahe,ID,61.56,moderate rain,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
386,Shenjiamen,CN,64.92,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
387,Sur,OM,81.81,clear sky,22.5667,59.5289,Sur Plaza Hotel
391,Lagoa,PT,66.69,clear sky,39.05,-27.9833,Casa Das Faias
394,Marsh Harbour,BS,77.83,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
398,Afonso Claudio,BR,77.41,broken clouds,-20.0742,-41.1239,Pousada Afonso Cláudio
402,Chibombo,ZM,83.68,overcast clouds,-14.6569,28.0706,Chibombo District Council Guest House
407,Inhambane,MZ,75.18,few clouds,-23.865,35.3833,Oceano
410,Wanning,CN,70.75,overcast clouds,18.8003,110.3967,Paradise Hotel
412,General Roca,AR,75.61,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
414,Flinders,AU,64.2,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
415,Longido,TZ,77.49,overcast clouds,-2.7333,36.6833,Longido Mountain Lodge
416,Luganville,VU,77.34,broken clouds,-15.5333,167.1667,The Espiritu Hotel
420,Hirado,JP,61.74,scattered clouds,33.3597,129.5531,Samson Hotel
421,Matara,LK,78.4,few clouds,5.9485,80.5353,Amaloh Boutique Resort
429,Mana,GF,83.03,moderate rain,5.6592,-53.7767,LE SAMANA
430,Villeta,CO,83.01,scattered clouds,5.0089,-74.4723,Hotel Villeta Suite
432,Kavaratti,IN,81.79,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
438,Solwezi,ZM,73.47,broken clouds,-12.1688,26.3894,Country Lodge Solwezi
439,Tucuman,AR,80.6,dust,-26.8241,-65.2226,Dallas Hotel Tucuman
440,Itacare,BR,82.29,overcast clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
441,Isabela,PH,78.42,overcast clouds,6.7085,121.9711,Isawad Resort
443,Najran,SA,74.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
444,Chimoio,MZ,82.26,clear sky,-19.1164,33.4833,Predio Livraria Ahmed
445,Prado,BR,78.53,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
447,Ocampo,MX,72.28,overcast clouds,21.65,-101.5,Casa de ratas
455,Vila Franca Do Campo,PT,70.21,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
458,Tezu,IN,70.93,few clouds,27.9167,96.1667,Circuit House
462,Campobello Di Mazara,IT,71.85,overcast clouds,37.6358,12.7443,BED AND BREAKFAST CASA VACANZA DA MATI CAMPOBELLO DI MAZARA
471,Alice Springs,AU,71.15,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
472,Poum,NC,73.69,clear sky,-20.2333,164.0167,Gîte kajeon
476,Cidreira,BR,72.82,moderate rain,-30.1811,-50.2056,Hotel Castelo
478,Tura,IN,66.36,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
479,Ternate,ID,80.37,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
480,Barcelos,PT,65.84,overcast clouds,41.5388,-8.6151,Hotel Do Terço
481,Santa Barbara,US,60.3,broken clouds,34.7333,-120.0343,Upper Ballard Campground
484,Vinh,VN,67.06,overcast clouds,18.6667,105.6667,Khách Sạn Thương Mại
487,Palu,ID,74.91,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
488,La Orilla,MX,84.22,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
489,Bhabua,IN,71.28,clear sky,25.05,83.6167,Kohinoor Hotel
497,Imperia,IT,61.14,clear sky,43.9667,7.7833,La Stregatta
499,Salalah,OM,77.97,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
500,Morristown,US,66.9,clear sky,36.214,-83.2949,Days Inn by Wyndham Morristown
503,Ambovombe,MG,71.01,scattered clouds,-25.1667,46.0833,RELAHARA
507,Guerrero Negro,MX,70.92,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
509,Jos,NG,67.66,scattered clouds,9.9167,8.9,Silk Suites
511,Numan,NG,77.23,moderate rain,9.4667,12.0333,Zangun Motel
513,Ofaqim,IL,72.73,clear sky,31.3141,34.6203,The Negev Experience
516,Porto Seguro,BR,75.72,overcast clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
517,Rock Sound,BS,77.72,overcast clouds,24.9,-76.2,Rock Sound Club
518,Chake Chake,TZ,75.63,broken clouds,-5.2459,39.7666,Hotel Archipelago
520,Uyuni,BO,66.2,few clouds,-20.4597,-66.825,Hostal La Magia de Uyuni
521,Itoman,JP,73.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
523,Kendrapara,IN,75.61,scattered clouds,20.5042,86.416,Hotel Mayuri Palace
524,Salta,AR,84.49,few clouds,-24.7859,-65.4117,Hotel Alejandro I
527,Nouadhibou,MR,69.1,clear sky,20.931,-17.0347,El Medina
528,Soure,BR,84.42,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
529,Sal Rei,CV,84.4,clear sky,16.1833,-22.9167,Marine Club Beach Resort
530,Paso De Los Toros,UY,64.44,light rain,-32.8167,-56.5167,Complejo Isabelino
531,Fukue,JP,64.85,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
535,Padang,ID,77.11,broken clouds,-0.9492,100.3543,Mercure Padang
544,Hong Gai,VN,67.91,scattered clouds,20.956,107.0946,Hạ Long DC Hotel
545,Puerto Madryn,AR,62.53,clear sky,-42.7692,-65.0385,Hotel Tolosa
546,Banjar,ID,80.46,overcast clouds,-8.19,114.9675,The Hamsa Resort
550,Greenwood,US,73.15,clear sky,34.1668,-82.1165,Quality Inn Greenwood Hwy 25
553,Ponta Delgada,PT,70.52,few clouds,37.7333,-25.6667,Vila Nova Hotel
555,Wukari,NG,73.89,broken clouds,7.85,9.7833,Elimtop
558,Bubaque,GW,84.15,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
560,Mindelo,CV,81.95,few clouds,16.8901,-24.9804,Hotel Gaudi
568,Frederico Westphalen,BR,63.63,moderate rain,-27.3592,-53.3944,Hotel Palace Frederico
571,Nkoteng,CM,70.52,scattered clouds,4.5167,12.0333,Résidence OOCLO-Cannelle
574,Poso,ID,76.12,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
